A,B,C,D,E,F,G,H
v31,B080,c01,v20,E024,f00037,G0678,h01
v35,B042,c24,v42,E037,f00046,G0757,h05
v14,B056,c02,v56,E087,f00031,G0458,h14
v12,B072,c05,v12,E174,f00045,G0635,h12
v25,B036,c12,v36,E072,f00038,G0491,h10
v04,B037,c19,v37,E083,f00088,G0885,h04
v12,B018,c06,v18,E089,f00069,G0984,h12
v38,B108,c17,v48,E116,f00046,G0745,h08
v30,B082,c15,v22,E142,f00048,G0841,h00
v20,B110,c01,v50,E010,f00051,G0895,h05
v41,B095,c16,v35,E086,f00080,G0914,h11
v21,B059,c23,v59,E019,f00028,G0696,h06
v25,B047,c29,v47,E072,f00011,G0151,h10
v06,B105,c26,v45,E058,f00008,G0212,h06
v19,B010,c10,v10,E121,f00000,G0010,h04
v39,B076,c03,v16,E021,f00051,G0862,h09
v11,B090,c11,v30,E136,f00037,G0449,h11
v25,B058,c16,v58,E176,f00055,G0906,h10
v28,B116,c13,v56,E179,f00048,G0717,h13
v18,B042,c24,v42,E082,f00040,G0533,h03
v03,B021,c27,v21,E097,f00005,G0107,h03
v12,B017,c29,v17,E054,f00003,G0017,h12
v12,B031,c07,v31,E118,f00035,G0404,h12
v04,B000,c00,v00,E171,f00004,G0052,h04
v07,B036,c12,v36,E141,f00001,G0036,h07
v18,B070,c21,v10,E074,f00034,G0452,h03
v44,B013,c01,v13,E034,f00009,G0159,h14
v12,B079,c24,v19,E174,f00046,G0640,h12
v16,B089,c04,v29,E169,f00058,G0986,h01
v17,B009,c03,v09,E175,f00026,G0493,h02
v01,B009,c03,v09,E151,f00014,G0374,h01
v00,B079,c24,v19,E039,f00023,G0358,h00
v28,B004,c28,v04,E014,f00059,G0947,h13
v03,B039,c03,v39,E090,f00065,G0827,h03
v09,B014,c08,v14,E066,f00014,G0222,h09
v31,B094,c09,v34,E085,f00008,G0200,h01
v39,B084,c29,v24,E162,f00016,G0264,h09
v32,B000,c00,v00,E061,f00000,G0000,h02
v29,B032,c14,v32,E016,f00002,G0032,h14
v34,B000,c00,v00,E060,f00003,G0050,h04
v43,B016,c22,v16,E138,f00047,G0687,h13
v07,B058,c16,v58,E141,f00038,G0571,h07
v39,B088,c27,v28,E126,f00030,G0537,h09
v13,B113,c22,v53,E104,f00009,G0193,h13
v24,B099,c14,v39,E108,f00018,G0282,h09
v19,B055,c25,v55,E045,f00053,G0393,h04
v30,B089,c04,v29,E142,f00004,G0111,h00
v07,B042,c24,v42,E141,f00040,G0585,h07
v39,B038,c26,v38,E021,f00026,G0467,h09
v09,B027,c09,v27,E035,f00052,G0883,h09
v15,B010,c10,v10,E153,f00028,G0513,h00
v26,B081,c08,v21,E152,f00063,G0748,h11
v26,B100,c21,v40,E152,f00065,G0758,h11
v27,B007,c19,v07,E032,f00000,G0007,h12
v41,B001,c07,v01,E067,f00059,G0703,h11
v39,B000,c00,v00,E146,f00004,G0057,h09
v37,B014,c08,v14,E103,f00065,G0903,h07
v13,B048,c06,v48,E115,f00027,G0473,h13
v09,B061,c18,v01,E102,f00044,G0783,h09
v19,B033,c21,v33,E009,f00038,G0224,h04
v29,B102,c05,v42,E027,f00004,G0091,h14
v11,B077,c10,v17,E029,f00030,G0366,h11
v18,B094,c09,v34,E082,f00037,G0515,h03
v27,B014,c08,v14,E135,f00002,G0014,h12
v23,B018,c06,v18,E098,f00030,G0572,h08
v14,B099,c14,v39,E012,f00044,G0667,h14
v11,B102,c05,v42,E029,f00057,G0695,h11
v02,B009,c03,v09,E130,f00057,G0917,h02
v19,B095,c16,v35,E121,f00069,G0594,h04
v32,B009,c03,v09,E079,f00059,G0945,h02
v06,B093,c02,v33,E133,f00018,G0394,h06
v17,B060,c11,v00,E128,f00060,G0958,h02
v37,B075,c26,v15,E143,f00057,G0819,h07
v13,B035,c05,v35,E115,f00023,G0403,h13
v43,B095,c16,v35,E138,f00020,G0351,h13
v30,B109,c24,v49,E084,f00033,G0612,h00
v33,B115,c06,v55,E007,f00046,G0628,h03
v04,B003,c21,v03,E023,f00086,G0854,h04
v00,B082,c15,v22,E039,f00031,G0566,h00
v13,B060,c11,v00,E004,f00019,G0350,h13
v40,B091,c18,v31,E080,f00009,G0137,h10
v23,B117,c20,v57,E092,f00059,G0907,h08
v25,B055,c25,v55,E017,f00017,G0237,h10
v23,B066,c23,v06,E092,f00027,G0549,h08
v00,B040,c10,v40,E109,f00042,G0808,h00
v00,B103,c12,v43,E109,f00047,G0837,h00
v36,B089,c04,v29,E005,f00015,G0318,h06
v28,B028,c16,v28,E051,f00011,G0209,h13
v04,B043,c01,v43,E129,f00067,G0577,h04
v00,B020,c20,v20,E093,f00054,G0968,h00
v09,B057,c09,v57,E035,f00006,G0094,h09
v00,B075,c26,v15,E039,f00039,G0729,h00
v16,B099,c14,v39,E041,f00013,G0367,h01
v24,B041,c17,v41,E154,f00056,G0957,h09
v04,B110,c01,v50,E023,f00093,G0950,h04
v18,B043,c01,v43,E071,f00029,G0412,h03
v14,B107,c10,v47,E163,f00019,G0299,h14
v23,B115,c06,v55,E165,f00045,G0741,h08
v19,B111,c08,v51,E009,f00037,G0207,h04
v00,B030,c00,v30,E063,f00000,G0030,h00
v37,B038,c26,v38,E103,f00017,G0251,h07
v33,B062,c25,v02,E007,f00020,G0329,h03
v41,B031,c07,v31,E049,f00005,G0092,h11
v16,B011,c17,v11,E169,f00042,G0746,h01
v33,B042,c24,v42,E007,f00014,G0221,h03
v35,B109,c24,v49,E037,f00047,G0760,h05
v08,B098,c07,v38,E159,f00050,G0839,h08
v41,B075,c26,v15,E144,f00027,G0338,h11
v00,B110,c01,v50,E063,f00012,G0203,h00
v27,B004,c28,v04,E077,f00051,G0721,h12
v21,B037,c19,v37,E055,f00006,G0114,h06
v19,B088,c27,v28,E121,f00056,G0421,h04
v20,B069,c14,v09,E119,f00017,G0314,h05
v26,B109,c24,v49,E172,f00051,G0613,h11
v33,B016,c22,v16,E070,f00062,G0790,h03
v34,B004,c28,v04,E000,f00009,G0063,h04
v16,B116,c13,v56,E113,f00019,G0474,h01
v27,B089,c04,v29,E032,f00038,G0453,h12
v31,B082,c15,v22,E085,f00056,G0974,h01
v11,B086,c13,v26,E044,f00020,G0249,h11
v35,B036,c12,v36,E173,f00050,G0875,h05
v33,B054,c18,v54,E070,f00009,G0171,h03
v42,B115,c06,v55,E160,f00048,G0679,h12
v03,B085,c06,v25,E097,f00016,G0248,h03
v02,B013,c01,v13,E110,f00017,G0389,h02
v26,B092,c25,v32,E172,f00058,G0699,h11
v16,B039,c03,v39,E169,f00017,G0427,h01
v08,B088,c27,v28,E001,f00014,G0280,h08
v16,B033,c21,v33,E169,f00021,G0482,h01
v14,B059,c23,v59,E030,f00039,G0565,h14
v00,B025,c25,v25,E093,f00015,G0236,h00
v03,B032,c14,v32,E117,f00049,G0645,h03
v20,B111,c08,v51,E038,f00058,G0981,h05
v02,B056,c02,v56,E042,f00034,G0626,h02
v13,B057,c09,v57,E004,f00025,G0423,h13
v02,B059,c23,v59,E013,f00004,G0086,h02
v35,B104,c19,v44,E037,f00054,G0922,h05
v39,B003,c21,v03,E021,f00000,G0003,h09
v28,B102,c05,v42,E178,f00017,G0284,h13
v07,B074,c19,v14,E141,f00009,G0183,h07
v16,B091,c18,v31,E113,f00046,G0786,h01
v34,B070,c21,v10,E000,f00040,G0252,h04
v40,B007,c19,v07,E080,f00006,G0117,h10
v26,B112,c15,v52,E152,f00033,G0413,h11
v35,B041,c17,v41,E018,f00002,G0041,h05
v30,B050,c20,v50,E142,f00036,G0700,h00
v38,B023,c11,v23,E069,f00051,G0846,h08
v22,B057,c09,v57,E137,f00039,G0583,h07
v11,B032,c14,v32,E044,f00066,G0762,h11
v39,B028,c16,v28,E162,f00040,G0673,h09
v17,B045,c15,v45,E147,f00037,G0660,h02
v36,B034,c28,v34,E005,f00001,G0034,h06
v29,B099,c14,v39,E145,f00057,G0861,h14
v25,B056,c02,v56,E017,f00057,G0939,h10
v39,B049,c13,v49,E126,f00017,G0277,h09
v08,B054,c18,v54,E124,f00055,G0869,h08
v26,B043,c01,v43,E040,f00076,G0858,h11
v37,B009,c03,v09,E015,f00030,G0503,h07
v07,B055,c25,v55,E028,f00061,G0874,h07
v38,B053,c11,v53,E116,f00053,G0857,h08
v27,B090,c11,v30,E077,f00012,G0154,h12
v35,B012,c24,v12,E018,f00009,G0145,h05
v16,B060,c11,v00,E113,f00053,G0940,h01
v36,B101,c28,v41,E043,f00010,G0261,h06
v40,B057,c09,v57,E026,f00058,G0960,h10
v13,B013,c01,v13,E115,f00052,G0776,h13
v42,B022,c04,v22,E148,f00015,G0223,h12
v32,B010,c10,v10,E061,f00019,G0417,h02
v30,B000,c00,v00,E084,f00001,G0047,h00
v15,B024,c18,v24,E153,f00032,G0573,h00
v29,B105,c26,v45,E125,f00026,G0388,h14
v03,B027,c09,v27,E090,f00028,G0410,h03
v44,B058,c16,v58,E094,f00045,G0705,h14
v37,B003,c21,v03,E015,f00053,G0782,h07
v27,B031,c07,v31,E032,f00052,G0751,h12
v39,B008,c26,v08,E162,f00042,G0715,h09
v44,B054,c18,v54,E034,f00020,G0341,h14
v34,B035,c05,v35,E106,f00066,G0576,h04
v29,B106,c03,v46,E125,f00049,G0732,h14
v04,B003,c21,v03,E023,f00061,G0517,h04
v37,B099,c14,v39,E123,f00025,G0397,h07
v12,B110,c01,v50,E118,f00027,G0342,h12
v13,B052,c04,v52,E115,f00028,G0487,h13
v18,B098,c07,v38,E071,f00013,G0217,h03
v05,B032,c14,v32,E059,f00024,G0435,h05
v12,B026,c02,v26,E174,f00013,G0189,h12
v23,B117,c20,v57,E073,f00023,G0506,h08
v19,B000,c00,v00,E121,f00005,G0059,h04
v28,B012,c24,v12,E179,f00053,G0798,h13
v22,B077,c10,v17,E064,f00032,G0516,h07
v09,B022,c04,v22,E102,f00003,G0022,h09
v11,B054,c18,v54,E029,f00044,G0498,h11
v42,B005,c05,v05,E111,f00016,G0232,h12
v11,B015,c15,v15,E155,f00002,G0015,h11
v07,B001,c07,v01,E141,f00036,G0562,h07
v09,B102,c05,v42,E066,f00024,G0411,h09
v31,B024,c18,v24,E024,f00002,G0082,h01
v06,B048,c06,v48,E081,f00025,G0615,h06
v34,B011,c17,v11,E060,f00027,G0102,h04
v24,B102,c05,v42,E154,f00022,G0325,h09
v33,B116,c13,v56,E149,f00048,G0642,h03
v24,B001,c07,v01,E036,f00034,G0605,h09
v21,B017,c29,v17,E099,f00029,G0725,h06
v05,B002,c14,v02,E020,f00000,G0002,h05
v28,B091,c18,v31,E178,f00016,G0276,h13
v32,B086,c13,v26,E079,f00011,G0267,h02
v37,B102,c05,v42,E103,f00020,G0332,h07
v06,B037,c19,v37,E058,f00019,G0446,h06
v26,B003,c21,v03,E100,f00026,G0337,h11
v18,B000,c00,v00,E071,f00002,G0051,h03
v28,B031,c07,v31,E051,f00021,G0356,h13
v10,B074,c19,v14,E122,f00007,G0119,h10
v08,B043,c01,v43,E159,f00036,G0609,h08
v13,B059,c23,v59,E115,f00058,G0946,h13
v17,B009,c03,v09,E147,f00023,G0463,h02
v33,B033,c21,v33,E149,f00057,G0707,h03
v05,B065,c16,v05,E020,f00005,G0122,h05
v27,B054,c18,v54,E078,f00040,G0476,h12
v07,B085,c06,v25,E031,f00058,G0821,h07
v15,B050,c20,v50,E033,f00005,G0139,h00
v23,B117,c20,v57,E073,f00038,G0621,h08
v41,B073,c12,v13,E049,f00021,G0275,h11
v42,B059,c23,v59,E148,f00068,G0953,h12
v38,B033,c21,v33,E116,f00004,G0109,h08
v42,B062,c25,v02,E160,f00023,G0301,h12
v44,B065,c16,v05,E034,f00040,G0574,h14
v43,B055,c25,v55,E088,f00012,G0226,h13
v15,B071,c28,v11,E002,f00009,G0177,h00
v08,B040,c10,v40,E001,f00001,G0040,h08
v32,B088,c27,v28,E101,f00032,G0610,h02
v32,B021,c27,v21,E079,f00002,G0021,h02
v20,B082,c15,v22,E038,f00029,G0500,h05
v28,B085,c06,v25,E178,f00049,G0727,h13
v05,B004,c28,v04,E158,f00035,G0618,h05
v04,B102,c05,v42,E171,f00036,G0202,h04
v20,B022,c04,v22,E010,f00057,G0964,h05
v34,B051,c27,v51,E062,f00046,G0278,h04
v30,B110,c01,v50,E131,f00029,G0544,h00
v07,B056,c02,v56,E031,f00031,G0507,h07
v22,B089,c04,v29,E065,f00023,G0363,h07
v14,B059,c23,v59,E163,f00043,G0644,h14
v30,B006,c12,v06,E142,f00019,G0286,h00
v21,B019,c13,v19,E019,f00024,G0607,h06
v14,B002,c14,v02,E012,f00051,G0749,h14
v07,B095,c16,v35,E141,f00008,G0162,h07
v01,B063,c02,v03,E112,f00023,G0512,h01
v23,B044,c08,v44,E165,f00060,G0921,h08
v12,B064,c09,v04,E054,f00055,G0829,h12
v05,B086,c13,v26,E059,f00044,G0710,h05
v42,B007,c19,v07,E148,f00007,G0115,h12
v01,B020,c20,v20,E112,f00003,G0152,h01
v33,B089,c04,v29,E070,f00030,G0414,h03
v09,B042,c24,v42,E025,f00033,G0601,h09
v27,B021,c27,v21,E078,f00043,G0504,h12
v24,B056,c02,v56,E140,f00007,G0098,h09
v33,B067,c00,v07,E075,f00063,G0795,h03
v20,B073,c12,v13,E010,f00030,G0523,h05
v04,B045,c15,v45,E129,f00092,G0944,h04
v19,B069,c14,v09,E009,f00032,G0181,h04
v23,B028,c16,v28,E165,f00043,G0714,h08
v34,B105,c26,v45,E000,f00062,G0545,h04
v23,B115,c06,v55,E073,f00039,G0648,h08
v04,B087,c20,v27,E171,f00039,G0235,h04
v32,B089,c04,v29,E061,f00031,G0590,h02
v25,B026,c02,v26,E017,f00047,G0753,h10
v37,B099,c14,v39,E143,f00011,G0192,h07
v15,B018,c06,v18,E006,f00018,G0269,h00
v22,B040,c10,v40,E170,f00055,G0809,h07
v39,B082,c15,v22,E162,f00054,G0935,h09
v14,B040,c10,v40,E030,f00029,G0437,h14
v23,B047,c29,v47,E073,f00062,G0948,h08
v42,B059,c23,v59,E111,f00034,G0398,h12
v25,B106,c03,v46,E022,f00030,G0402,h10
v27,B066,c23,v06,E077,f00054,G0780,h12
v10,B027,c09,v27,E164,f00046,G0747,h10
v37,B064,c09,v04,E143,f00063,G0891,h07
v18,B060,c11,v00,E074,f00035,G0489,h03
v03,B104,c19,v44,E117,f00012,G0210,h03
v37,B062,c25,v02,E123,f00005,G0104,h07
v27,B044,c08,v44,E078,f00014,G0211,h12
v34,B018,c06,v18,E000,f00023,G0077,h04
v43,B105,c26,v45,E068,f00033,G0522,h13
v03,B069,c14,v09,E057,f00036,G0499,h03
v26,B013,c01,v13,E152,f00017,G0225,h11
v18,B009,c03,v09,E168,f00000,G0009,h03
v18,B097,c00,v37,E071,f00068,G0835,h03
v08,B052,c04,v52,E167,f00035,G0606,h08
v04,B092,c25,v32,E083,f00087,G0860,h04
v15,B110,c01,v50,E006,f00040,G0764,h00
v31,B012,c24,v12,E134,f00033,G0603,h01
v13,B036,c12,v36,E076,f00038,G0579,h13
v00,B079,c24,v19,E039,f00011,G0194,h00
v31,B062,c25,v02,E134,f00051,G0877,h01
v34,B109,c24,v49,E062,f00054,G0401,h04
v00,B112,c15,v52,E093,f00035,G0688,h00
v16,B077,c10,v17,E113,f00049,G0870,h01
v33,B089,c04,v29,E075,f00015,G0245,h03
v29,B039,c03,v39,E027,f00023,G0368,h14
v39,B079,c24,v19,E162,f00045,G0791,h09
v34,B051,c27,v51,E106,f00083,G0806,h04
v34,B020,c20,v20,E000,f00060,G0486,h04
v40,B085,c06,v25,E026,f00040,G0534,h10
v17,B067,c00,v07,E128,f00039,G0689,h02
v15,B060,c11,v00,E006,f00037,G0711,h00
v11,B067,c00,v07,E029,f00068,G0771,h11
v34,B034,c28,v34,E000,f00068,G0578,h04
v41,B013,c01,v13,E067,f00001,G0013,h11
v21,B038,c26,v38,E099,f00016,G0322,h06
v10,B037,c19,v37,E091,f00044,G0631,h10
v26,B097,c00,v37,E172,f00046,G0521,h11
v41,B019,c13,v19,E144,f00038,G0466,h11
v15,B028,c16,v28,E006,f00013,G0213,h00
v38,B065,c16,v05,E069,f00029,G0568,h08
v13,B088,c27,v28,E076,f00041,G0627,h13
v08,B097,c00,v37,E167,f00061,G0927,h08
v10,B115,c06,v55,E091,f00013,G0188,h10
v27,B008,c26,v08,E032,f00001,G0008,h12
v04,B008,c26,v08,E023,f00085,G0813,h04
v42,B110,c01,v50,E160,f00066,G0937,h12
v13,B055,c25,v55,E004,f00056,G0896,h13
v20,B027,c09,v27,E119,f00021,G0362,h05
v14,B090,c11,v30,E163,f00058,G0901,h14
v35,B108,c17,v48,E018,f00015,G0272,h05
v07,B083,c22,v23,E141,f00054,G0800,h07
v34,B012,c24,v12,E060,f00077,G0723,h04
v44,B059,c23,v59,E105,f00038,G0547,h14
v21,B056,c02,v56,E019,f00012,G0303,h06
v03,B052,c04,v52,E090,f00064,G0822,h03
v17,B108,c17,v48,E175,f00016,G0378,h02
v16,B075,c26,v15,E169,f00022,G0496,h01
v13,B092,c25,v32,E104,f00024,G0418,h13
v40,B011,c17,v11,E080,f00041,G0541,h10
v38,B051,c27,v51,E069,f00024,G0510,h08
v19,B006,c12,v06,E161,f00094,G0973,h04
v26,B088,c27,v28,E152,f00042,G0488,h11
v34,B012,c24,v12,E000,f00017,G0071,h04
v09,B094,c09,v34,E025,f00027,G0479,h09
v16,B080,c01,v20,E113,f00028,G0551,h01
v12,B105,c26,v45,E118,f00050,G0716,h12
v06,B000,c00,v00,E133,f00009,G0233,h06
v31,B079,c24,v19,E085,f00010,G0265,h01
v01,B064,c09,v04,E151,f00031,G0600,h01
v42,B004,c28,v04,E148,f00049,G0682,h12
v07,B038,c26,v38,E166,f00048,G0718,h07
v34,B011,c17,v11,E000,f00016,G0070,h04
v02,B111,c08,v51,E013,f00049,G0825,h02
v37,B027,c09,v27,E123,f00029,G0441,h07
v29,B095,c16,v35,E016,f00052,G0772,h14
v21,B092,c25,v32,E055,f00031,G0801,h06
v03,B018,c06,v18,E057,f00056,G0697,h03
v19,B065,c16,v05,E121,f00041,G0260,h04
v19,B118,c27,v58,E121,f00084,G0812,h04
v06,B106,c03,v46,E177,f00035,G0844,h06
v34,B014,c08,v14,E000,f00019,G0073,h04
v42,B043,c01,v43,E003,f00033,G0386,h12
v39,B091,c18,v31,E021,f00057,G0962,h09
v12,B063,c02,v03,E118,f00063,G0930,h12
v15,B042,c24,v42,E033,f00007,G0173,h00
v03,B085,c06,v25,E097,f00026,G0406,h03
v26,B086,c13,v26,E172,f00060,G0706,h11
v05,B101,c28,v41,E158,f00026,G0471,h05
v39,B097,c00,v37,E162,f00036,G0624,h09
v34,B006,c12,v06,E000,f00011,G0065,h04
v34,B001,c07,v01,E000,f00006,G0060,h04
v34,B008,c26,v08,E106,f00050,G0312,h04
v23,B099,c14,v39,E092,f00047,G0774,h08
v17,B109,c24,v49,E147,f00013,G0319,h02
v29,B082,c15,v22,E125,f00027,G0422,h14
v03,B001,c07,v01,E117,f00008,G0143,h03
v43,B026,c02,v26,E068,f00036,G0553,h13
v25,B076,c03,v16,E072,f00033,G0444,h10
v27,B004,c28,v04,E032,f00044,G0599,h12
v26,B077,c10,v17,E152,f00039,G0470,h11
v19,B102,c05,v42,E045,f00034,G0197,h04
v03,B061,c18,v01,E057,f00067,G0831,h03
v26,B029,c23,v29,E172,f00045,G0518,h11
v19,B028,c16,v28,E045,f00047,G0283,h04
v23,B086,c13,v26,E098,f00067,G0977,h08
v14,B012,c24,v12,E012,f00005,G0099,h14
v07,B031,c07,v31,E031,f00018,G0287,h07
v30,B027,c09,v27,E131,f00049,G0872,h00
v39,B019,c13,v19,E126,f00032,G0598,h09
v01,B111,c08,v51,E112,f00032,G0602,h01
v04,B023,c11,v23,E171,f00001,G0023,h04
v35,B032,c14,v32,E173,f00041,G0675,h05
v34,B056,c02,v56,E060,f00079,G0737,h04
v32,B009,c03,v09,E101,f00055,G0894,h02
v20,B115,c06,v55,E010,f00012,G0187,h05
v11,B116,c13,v56,E155,f00055,G0668,h11
v09,B119,c04,v59,E066,f00010,G0135,h09
v39,B048,c06,v48,E146,f00039,G0659,h09
v22,B111,c08,v51,E170,f00059,G0823,h07
v43,B000,c00,v00,E138,f00003,G0055,h13
v15,B103,c12,v43,E033,f00043,G0817,h00
v08,B004,c28,v04,E124,f00000,G0004,h08
v19,B113,c22,v53,E161,f00045,G0274,h04
v33,B050,c20,v50,E070,f00051,G0664,h03
v07,B084,c29,v24,E031,f00015,G0240,h07
v28,B075,c26,v15,E014,f00057,G0943,h13
v20,B107,c10,v47,E119,f00019,G0334,h05
v24,B054,c18,v54,E140,f00025,G0431,h09
v00,B073,c12,v13,E109,f00052,G0899,h00
v38,B030,c00,v30,E069,f00016,G0305,h08
v23,B038,c26,v38,E073,f00011,G0253,h08
v41,B079,c24,v19,E144,f00010,G0144,h11
v43,B116,c13,v56,E068,f00030,G0501,h13
v07,B024,c18,v24,E166,f00000,G0024,h07
v20,B115,c06,v55,E038,f00010,G0180,h05
v24,B074,c19,v14,E140,f00046,G0792,h09
v24,B036,c12,v36,E108,f00009,G0110,h09
v16,B109,c24,v49,E041,f00025,G0535,h01
v22,B118,c27,v58,E137,f00014,G0234,h07
v16,B056,c02,v56,E113,f00009,G0258,h01
v15,B070,c21,v10,E033,f00030,G0554,h00
v37,B071,c28,v11,E015,f00056,G0818,h07
v24,B011,c17,v11,E140,f00001,G0011,h09
v02,B026,c02,v26,E110,f00010,G0254,h02
v01,B079,c24,v19,E127,f00027,G0550,h01
v11,B097,c00,v37,E044,f00047,G0524,h11
v18,B019,c13,v19,E168,f00066,G0830,h03
v09,B075,c26,v15,E102,f00053,G0911,h09
v30,B036,c12,v36,E131,f00017,G0263,h00
v17,B010,c10,v10,E156,f00036,G0638,h02
v40,B026,c02,v26,E150,f00048,G0755,h10
v39,B046,c22,v46,E162,f00023,G0390,h09
v21,B031,c07,v31,E019,f00004,G0097,h06
v11,B033,c21,v33,E029,f00012,G0160,h11
v07,B101,c28,v41,E166,f00041,G0597,h07
v39,B106,c03,v46,E021,f00047,G0814,h09
v06,B005,c05,v05,E081,f00023,G0593,h06
v41,B081,c08,v21,E067,f00013,G0167,h11
v38,B066,c23,v06,E048,f00020,G0416,h08
v38,B116,c13,v56,E069,f00042,G0690,h08
v32,B047,c29,v47,E079,f00052,G0859,h02
v34,B060,c11,v00,E062,f00065,G0570,h04
v08,B007,c19,v07,E001,f00057,G0881,h08
v16,B049,c13,v49,E169,f00030,G0596,h01
v41,B084,c29,v24,E049,f00016,G0214,h11
v37,B053,c11,v53,E015,f00019,G0315,h07
v40,B035,c05,v35,E150,f00032,G0442,h10
v14,B103,c12,v43,E087,f00060,G0961,h14
v22,B113,c22,v53,E137,f00049,G0724,h07
v12,B016,c22,v16,E089,f00011,G0148,h12
v21,B025,c25,v25,E095,f00000,G0025,h06
v30,B000,c00,v00,E131,f00002,G0049,h00
v34,B013,c01,v13,E000,f00018,G0072,h04
v34,B110,c01,v50,E060,f00028,G0126,h04
v26,B090,c11,v30,E040,f00048,G0560,h11
v07,B106,c03,v46,E141,f00052,G0754,h07
v34,B003,c21,v03,E000,f00008,G0062,h04
v30,B085,c06,v25,E084,f00016,G0238,h00
v38,B108,c17,v48,E047,f00007,G0123,h08
v17,B110,c01,v50,E175,f00038,G0666,h02
v21,B000,c00,v00,E099,f00005,G0108,h06
v01,B086,c13,v26,E139,f00035,G0649,h01
v41,B074,c19,v14,E144,f00008,G0133,h11
v04,B063,c02,v03,E083,f00055,G0408,h04
v43,B016,c22,v16,E138,f00051,G0761,h13
v33,B034,c28,v34,E007,f00071,G0845,h03
v10,B048,c06,v48,E122,f00021,G0320,h10
v04,B091,c18,v31,E083,f00081,G0793,h04
v40,B035,c05,v35,E107,f00026,G0348,h10
v35,B109,c24,v49,E120,f00013,G0208,h05
v02,B063,c02,v03,E110,f00054,G0887,h02
v42,B100,c21,v40,E160,f00042,G0495,h12
v37,B028,c16,v28,E103,f00026,G0425,h07
v42,B097,c00,v37,E148,f00064,G0932,h12
v41,B060,c11,v00,E067,f00050,G0608,h11
v34,B002,c14,v02,E000,f00007,G0061,h04
v34,B015,c15,v15,E000,f00020,G0074,h04
v17,B080,c01,v20,E175,f00024,G0464,h02
v23,B091,c18,v31,E073,f00015,G0304,h08
v01,B095,c16,v35,E127,f00036,G0669,h01
v29,B078,c17,v18,E145,f00016,G0250,h14
v41,B029,c23,v29,E067,f00043,G0494,h11
v05,B019,c13,v19,E059,f00016,G0309,h05
v19,B095,c16,v35,E121,f00049,G0296,h04
v07,B068,c07,v08,E031,f00046,G0704,h07
v11,B003,c21,v03,E155,f00074,G0842,h11
